Timestamp,League,Match,Market,Selection,Value Limit,Steam %,Steam Score,Strength,Kickoff Hours,Matchup ID,,,,,,,,,,,,,,,Entry Odds
21/06/2026 13:42:33,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"2,004","11,54","64,9",MEDIUM,"8,3",1631929349,,,,,,,,,,,,,,,"1,893"
21/06/2026 13:42:35,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"2,004","11,54","64,9",MEDIUM,"8,3",1631929349,,,,,,,,,,,,,,,"1,893"
21/06/2026 13:42:39,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"2,004","11,54","64,9",MEDIUM,"8,3",1631929349,,,,,,,,,,,,,,,"1,893"
21/06/2026 13:43:05,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"8,3",1631929851,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:43:06,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"8,3",1631929851,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:43:09,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"8,3",1631929851,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:43:10,Argentina - Primera B Nacional,Central Norte Salta vs Godoy Cruz,spread,home 0.0,"1,909","16,26","91,5",ELITE,"7,8",1631929850,,,,,,,,,,,,,,,"1,725"
21/06/2026 13:43:12,Argentina - Primera B Nacional,Central Norte Salta vs Godoy Cruz,spread,home 0.0,"1,909","16,26","91,5",ELITE,"7,8",1631929850,,,,,,,,,,,,,,,"1,725"
21/06/2026 13:43:15,Argentina - Primera B Nacional,Central Norte Salta vs Godoy Cruz,spread,home 0.0,"1,909","16,26","91,5",ELITE,"7,8",1631929850,,,,,,,,,,,,,,,"1,725"
21/06/2026 13:43:31,Sweden - Superettan,Norrby vs Nordic United,spread,home 0.0,"1,925","12,75","71,7",HIGH,"3,3",1631929371,,,,,,,,,,,,,,,"1,806"
21/06/2026 13:43:31,Sweden - Superettan,Norrby vs Nordic United,spread,home 0.0,"1,925","12,75","71,7",HIGH,"3,3",1631929371,,,,,,,,,,,,,,,"1,806"
21/06/2026 13:43:37,Sweden - Superettan,Brage vs Varnamo,spread,home -0.5,"1,867","10,35","69,9",MEDIUM,"1,3",1631929197,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:43:37,Sweden - Superettan,Brage vs Varnamo,spread,home -0.5,"1,867","10,35","69,9",MEDIUM,"1,3",1631929197,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:43:52,Iceland - Premier League,Fram Reykjavik vs Vikingur Reykjavik,spread,away -0.5,"1,949","12,3","79,5",HIGH,"8,6",1631762781,,,,,,,,,,,,,,,"1,833"
21/06/2026 13:43:58,Iceland - Premier League,Fram Reykjavik vs Vikingur Reykjavik,spread,away -0.5,"1,949","12,3","79,5",HIGH,"8,6",1631762781,,,,,,,,,,,,,,,"1,833"
21/06/2026 13:43:59,Iceland - Premier League,Fram Reykjavik vs Vikingur Reykjavik,spread,away -0.5,"1,949","12,3","79,5",HIGH,"8,6",1631762781,,,,,,,,,,,,,,,"1,833"
21/06/2026 13:44:02,Norway - 1st Division,Strommen vs Stabaek,spread,away -1.0,"1,921","13,04","73,4",HIGH,"2,3",1631904374,,,,,,,,,,,,,,,"1,8"
21/06/2026 13:44:09,Norway - 1st Division,Strommen vs Stabaek,spread,away -1.0,"1,921","13,04","73,4",HIGH,"2,3",1631904374,,,,,,,,,,,,,,,"1,8"
21/06/2026 13:44:10,Norway - 1st Division,Strommen vs Stabaek,spread,away -1.0,"1,921","13,04","73,4",HIGH,"2,3",1631904374,,,,,,,,,,,,,,,"1,8"
21/06/2026 13:49:09,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,away -0.0,"1,814","12,04","67,7",MEDIUM,"8,2",1631929851,,,,,,,,,,,,,,,"1,709"
21/06/2026 13:49:10,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,away -0.0,"1,814","12,04","67,7",MEDIUM,"8,2",1631929851,,,,,,,,,,,,,,,"1,709"
21/06/2026 13:49:16,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,away -0.0,"1,814","12,04","67,7",MEDIUM,"8,2",1631929851,,,,,,,,,,,,,,,"1,709"
21/06/2026 13:49:34,Sweden - Superettan,Brage vs Varnamo,spread,home -0.5,"1,867","10,35","69,9",MEDIUM,"1,2",1631929197,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:49:37,Sweden - Superettan,Brage vs Varnamo,spread,away 0.5,"1,842","10,25","69,2",MEDIUM,"1,2",1631929197,,,,,,,,,,,,,,,"1,752"
21/06/2026 13:49:38,Sweden - Superettan,Brage vs Varnamo,spread,away 0.5,"1,842","10,25","69,2",MEDIUM,"1,2",1631929197,,,,,,,,,,,,,,,"1,752"
21/06/2026 13:49:40,Sweden - Superettan,Norrby vs Nordic United,spread,home 0.0,"1,925","12,75","71,7",HIGH,"3,2",1631929371,,,,,,,,,,,,,,,"1,806"
21/06/2026 13:55:06,Argentina - Primera B Nacional,Central Norte Salta vs Godoy Cruz,spread,home 0.0,"1,909","16,26","91,5",ELITE,"7,6",1631929850,,,,,,,,,,,,,,,"1,725"
21/06/2026 13:55:07,Argentina - Primera B Nacional,Central Norte Salta vs Godoy Cruz,spread,home 0.0,"1,909","16,26","91,5",ELITE,"7,6",1631929850,,,,,,,,,,,,,,,"1,725"
21/06/2026 13:55:09,Argentina - Primera B Nacional,Central Norte Salta vs Godoy Cruz,spread,home 0.0,"1,909","16,26","91,5",ELITE,"7,6",1631929850,,,,,,,,,,,,,,,"1,725"
21/06/2026 13:55:10,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"8,1",1631929851,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:55:11,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"8,1",1631929851,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:55:12,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"8,1",1631929851,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:55:20,Iceland - Premier League,Fram Reykjavik vs Vikingur Reykjavik,spread,away -0.5,"1,949","12,3","79,5",HIGH,"8,4",1631762781,,,,,,,,,,,,,,,"1,833"
21/06/2026 13:55:21,Iceland - Premier League,Fram Reykjavik vs Vikingur Reykjavik,spread,away -0.5,"1,949","12,3","79,5",HIGH,"8,4",1631762781,,,,,,,,,,,,,,,"1,833"
21/06/2026 13:55:21,Iceland - Premier League,Fram Reykjavik vs Vikingur Reykjavik,spread,away -0.5,"1,949","12,3","79,5",HIGH,"8,4",1631762781,,,,,,,,,,,,,,,"1,833"
21/06/2026 13:55:44,Sweden - Superettan,Brage vs Varnamo,spread,home -0.5,"1,867","10,35","69,9",MEDIUM,"1,1",1631929197,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:55:45,Sweden - Superettan,Brage vs Varnamo,spread,away 0.5,"1,842","10,25","69,2",MEDIUM,"1,1",1631929197,,,,,,,,,,,,,,,"1,752"
21/06/2026 13:55:45,Sweden - Superettan,Brage vs Varnamo,spread,home -0.5,"1,867","10,35","69,9",MEDIUM,"1,1",1631929197,,,,,,,,,,,,,,,"1,775"
21/06/2026 13:55:51,Sweden - Superettan,Norrby vs Nordic United,spread,home 0.0,"1,925","12,75","71,7",HIGH,"3,1",1631929371,,,,,,,,,,,,,,,"1,806"
21/06/2026 13:55:51,Sweden - Superettan,Norrby vs Nordic United,spread,home 0.0,"1,925","12,75","71,7",HIGH,"3,1",1631929371,,,,,,,,,,,,,,,"1,806"
21/06/2026 13:56:58,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"2,004","11,54","64,9",MEDIUM,"8,1",1631929349,,,,,,,,,,,,,,,"1,893"
21/06/2026 13:57:00,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"2,004","11,54","64,9",MEDIUM,"8,1",1631929349,,,,,,,,,,,,,,,"1,893"
21/06/2026 13:57:02,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"2,004","11,54","64,9",MEDIUM,"8,1",1631929349,,,,,,,,,,,,,,,"1,893"
21/06/2026 13:57:24,Norway - 1st Division,Strommen vs Stabaek,spread,away -1.0,"1,921","13,04","73,4",HIGH,"2,1",1631904374,,,,,,,,,,,,,,,"1,8"
21/06/2026 13:57:25,Norway - 1st Division,Strommen vs Stabaek,spread,away -1.0,"1,921","13,04","73,4",HIGH,"2,1",1631904374,,,,,,,,,,,,,,,"1,8"
21/06/2026 13:57:29,Norway - 1st Division,Strommen vs Stabaek,spread,away -1.0,"1,921","13,04","73,4",HIGH,"2,1",1631904374,,,,,,,,,,,,,,,"1,8"
21/06/2026 14:01:11,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,away -0.0,"1,814","12,04","67,7",MEDIUM,8,1631929851,,,,,,,,,,,,,,,"1,709"
21/06/2026 14:01:12,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,away -0.0,"1,814","12,04","67,7",MEDIUM,8,1631929851,,,,,,,,,,,,,,,"1,709"
21/06/2026 14:01:15,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,away -0.0,"1,814","12,04","67,7",MEDIUM,8,1631929851,,,,,,,,,,,,,,,"1,709"
21/06/2026 14:01:51,Sweden - Superettan,Brage vs Varnamo,spread,away 0.5,"1,842","10,25","77,8",HIGH,1,1631929197,,,,,,,,,,,,,,,"1,752"
21/06/2026 14:01:52,Sweden - Superettan,Brage vs Varnamo,spread,away 0.5,"1,842","10,25","77,8",HIGH,1,1631929197,,,,,,,,,,,,,,,"1,752"
21/06/2026 14:01:54,Sweden - Superettan,Brage vs Varnamo,spread,home -0.5,"1,867","10,35","78,6",HIGH,1,1631929197,,,,,,,,,,,,,,,"1,775"
21/06/2026 14:01:59,Sweden - Superettan,Norrby vs Nordic United,spread,home 0.0,"1,925","12,75","71,7",HIGH,3,1631929371,,,,,,,,,,,,,,,"1,806"
21/06/2026 14:06:54,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"1,987","11,54","64,9",MEDIUM,"7,9",1631929349,,,,,,,,,,,,,,,"1,862"
21/06/2026 14:06:56,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"1,987","11,54","64,9",MEDIUM,"7,9",1631929349,,,,,,,,,,,,,,,"1,862"
21/06/2026 14:06:58,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"7,9",1631929851,,,,,,,,,,,,,,,"1,775"
21/06/2026 14:06:59,Brazil - Serie B,Sao Bernardo vs Juventude,spread,away -0.0,"1,987","11,54","64,9",MEDIUM,"7,9",1631929349,,,,,,,,,,,,,,,"1,862"
21/06/2026 14:07:00,Argentina - Primera B Nacional,Guemes vs Gimnasia Jujuy,spread,home 0.0,"1,987","17,82",100,ELITE,"7,9",1631929851,,,,,,,,,,,,,,,"1,775"
