episode_id;timestamp_start;timestamp_end;league;match;matchup_id;market;side;points;start_odd;end_odd;movement_pct;duration_minutes;hours_until_match_start;hours_until_match_end;observations
1635980522-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Italy - Serie A;Roma vs Internazionale;1635980522;spread;home;0.0;1.98;1.84;7.071;0;5.68;5.3;1
1635980522-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Italy - Serie A;Roma vs Internazionale;1635980522;spread;away;-0.0;1.943;1.68;13.536;0;5.68;5.3;2
1635980523-spread-home-0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Italy - Serie A;Venezia vs Lazio;1635980523;spread;home;0.5;1.885;1.862;1.22;0;8.43;8.05;1
1635980523-spread-away--0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Italy - Serie A;Venezia vs Lazio;1635980523;spread;away;-0.5;2.04;1.935;5.147;0;8.43;8.05;1
1635980523-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Italy - Serie A;Venezia vs Lazio;1635980523;spread;home;0.0;2.05;1.926;6.049;0;8.43;8.05;1
1635984813-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Italy - Serie A;Udinese vs Cagliari;1635984813;spread;away;-0.0;2.26;1.671;26.062;0;2.68;2.3;1
1636480676-spread-home--0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Portugal - Primeira Liga;Gil Vicente vs Maritimo;1636480676;spread;home;-0.5;2.02;1.8;10.891;0;4.18;3.8;1
1636463924-spread-away--0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Portugal - Primeira Liga;Nacional da Madeira vs Famalicao;1636463924;spread;away;-0.5;2.1;1.901;9.476;0;4.18;3.8;1
1636007230-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Argentina - Liga Pro;Union de Santa Fe vs CA Independiente;1636007230;spread;home;0.0;1.746;1.714;1.833;0;9.43;9.05;1
1636007230-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Argentina - Liga Pro;Union de Santa Fe vs CA Independiente;1636007230;spread;away;-0.0;2.17;2.0;7.834;0;9.43;9.05;1
1636004905-spread-home--1.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Argentina - Liga Pro;River Plate vs Huracan;1636004905;spread;home;-1.0;1.952;1.806;7.48;0;11.68;11.3;1
1636004905-spread-away-1.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Argentina - Liga Pro;River Plate vs Huracan;1636004905;spread;away;1.0;1.952;1.909;2.203;0;11.68;11.3;1
1636498154-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;South Africa - PSL;Kruger United vs Stellenbosch;1636498154;spread;home;0.0;1.909;1.885;1.257;0;7.68;7.3;1
1636498154-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;South Africa - PSL;Kruger United vs Stellenbosch;1636498154;spread;away;-0.0;1.909;1.8;5.71;0;7.68;7.3;2
1636463957-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;South Africa - PSL;Polokwane City vs AmaZulu;1636463957;spread;home;0.0;2.11;1.84;12.796;0;5.18;4.8;1
1636048887-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Brazil - Serie A;Remo vs Santos;1636048887;spread;home;0.0;2.11;1.794;14.976;0;11.18;10.8;3
1636048886-spread-home--0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Brazil - Serie A;Mirassol vs Botafogo FR RJ;1636048886;spread;home;-0.5;2.08;1.769;14.952;0;9.68;9.3;1
1636689362-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Ecuador - Serie A;Guayaquil City vs Leones del Norte;1636689362;spread;away;-0.0;2.28;1.862;18.333;0;11.18;10.8;2
1635980512-spread-away-0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;France - Ligue 1;Paris FC vs Strasbourg;1635980512;spread;away;0.5;2.06;1.84;10.68;0;4.93;4.55;1
1635980513-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;France - Ligue 1;Le Mans vs Lorient;1635980513;spread;home;0.0;2.06;1.787;13.252;0;8.43;8.05;2
1635985152-spread-home--0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;France - Ligue 1;Angers vs Troyes;1635985152;spread;home;-0.5;2.11;1.87;11.374;0;8.43;8.05;2
1635985152-spread-away-0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;France - Ligue 1;Angers vs Troyes;1635985152;spread;away;0.5;1.826;1.775;2.793;0;8.43;8.05;1
1636483889-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Poland - Ekstraklasa;GKS Katowice vs Cracovia Krakow;1636483889;spread;away;-0.0;2.2;1.917;12.864;0;5.18;4.8;1
1636442668-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;Poland - Ekstraklasa;Korona Kielce vs Rakow Czestochowa;1636442668;spread;away;-0.0;2.18;2.01;7.798;0;2.43;2.05;1
1636439247-spread-away--0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;England - League 2;Walsall vs Port Vale;1636439247;spread;away;-0.0;2.13;1.909;10.376;0;1.18;0.8;1
1636463909-spread-home--0.5-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;England - League 2;Crewe Alexandra vs Shrewsbury Town;1636463909;spread;home;-0.5;1.935;1.769;8.579;0;3.68;3.3;1
1636480665-spread-home-0.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;England - League 2;Chesterfield vs York City;1636480665;spread;home;0.0;1.917;1.769;7.72;0;3.68;3.3;2
1636463850-spread-home--1.0-1789813138;2026-09-19T10:18:58.538687+00:00;2026-09-19T10:18:58.538687+00:00;England - League 2;Salford City vs Swindon Town;1636463850;spread;home;-1.0;1.813;1.714;5.461;0;3.68;3.3;1
