episode_id;timestamp_start;timestamp_end;league;match;matchup_id;market;ah_line;steam_side;steam_points;steam_start_odd;steam_end_odd;steam_movement_pct;opposite_movement_pct;opposite_side;opposite_points;opposite_start_odd;opposite_end_odd;steam_dominance_pct;base_prob_pct;observations;duration_minutes;hours_until_match_start;movement_score;persistence_score;timing_score;fvs_score
1636714053-ou25-1790116688;2026-09-22T22:38:08.104257+00:00;2026-09-22T22:38:08.104257+00:00;Chile - Cup;Cobreloa vs Coquimbo Unido;1636714053;total;OU-2.5;under;2.5;1.8;1.8;1.099;1.099;under;2.5;1.8;1.8;100.0;53.13;1;0;0.86;9.16;0.0;71.57;49.93
1637053126-ou25-1790122153;2026-09-23T00:09:13.270297+00:00;2026-09-23T00:09:13.270297+00:00;Mexico - Copa Promesas MX;Soles de Sonora vs Deportivo Etchojoa;1637053126;total;OU-2.5;under;2.5;1.909;1.909;1.75;1.75;under;2.5;1.909;1.909;100.0;48.98;1;0;1.84;14.58;0.0;96.04;52.22
1636532745-ah1-home_-1-1790123988;2026-09-23T00:39:48.901999+00:00;2026-09-23T00:39:48.901999+00:00;Colombia - Primera A;Independiente Santa Fe vs Deportivo Cali;1636532745;spread;AH-1;home;-1.0;1.769;1.769;1.394;0.0;away;1.0;1.962;1.962;100.0;52.59;1;0;0.33;11.61;0.0;58.36;48.93
1636769026-ah1-away_-1-1790131591;2026-09-23T02:46:31.671173+00:00;2026-09-23T02:46:31.671173+00:00;Czech Republic - Cup;Kladno vs Banik Ostrava;1636769026;spread;AH-1;away;-1.0;1.84;1.84;0.0;3.359;home;1.0;1.87;1.87;0.0;50.4;1;0;11.21;0.0;0.0;59.82;21.1
1636738975-ah1-home_-1-1790137389;2026-09-23T04:23:09.428126+00:00;2026-09-23T04:23:09.428126+00:00;Cambodia - Cup;Preah Sihanouk Province vs Kep Province;1636738975;spread;AH-1;home;-1.0;1.775;1.775;6.628;0.0;away;1.0;1.943;1.943;100.0;52.26;1;0;4.11;55.23;0.0;100.0;61.72
1636738975-ah1-home_-1-1790138254;2026-09-23T04:37:34.745607+00:00;2026-09-23T04:37:34.745607+00:00;Cambodia - Cup;Preah Sihanouk Province vs Kep Province;1636738975;spread;AH-1;home;-1.0;1.826;1.826;0.0;2.985;away;1.0;1.885;1.885;0.0;50.79;1;0;3.86;0.0;0.0;100.0;25.24
1636738975-ah1-home_-1-1790139119;2026-09-23T04:51:59.275980+00:00;2026-09-23T04:51:59.275980+00:00;Cambodia - Cup;Preah Sihanouk Province vs Kep Province;1636738975;spread;AH-1;home;-1.0;1.87;1.87;0.0;2.387;away;1.0;1.84;1.84;0.0;49.6;1;0;3.63;0.0;0.0;100.0;24.88
1636739074-ah1-home_-1-1790140332;2026-09-23T05:12:12.785532+00:00;2026-09-23T05:12:12.785532+00:00;Japan - Cup;Vissel Kobe vs Sagan Tosu;1636739074;spread;AH-1;home;-1.0;1.826;1.826;0.0;1.932;away;1.0;2.03;2.03;0.0;52.65;1;0;2.78;0.0;0.0;100.0;25.79
1636739074-ou25-1790140332;2026-09-23T05:12:12.785532+00:00;2026-09-23T05:12:12.785532+00:00;Japan - Cup;Vissel Kobe vs Sagan Tosu;1636739074;total;OU-2.5;under;2.5;1.935;1.935;4.68;4.68;under;2.5;1.935;1.935;100.0;49.56;1;0;2.78;39.0;0.0;100.0;57.67
1636769026-ah1-away_-1-1790140684;2026-09-23T05:18:04.557141+00:00;2026-09-23T05:18:04.557141+00:00;Czech Republic - Cup;Kladno vs Banik Ostrava;1636769026;spread;AH-1;away;-1.0;1.781;1.781;3.207;0.0;home;1.0;1.935;1.935;100.0;52.07;1;0;8.7;26.72;0.0;91.27;55.09
