episode_id;timestamp_start;timestamp_end;league;match;matchup_id;market;side;points;start_odd;end_odd;movement_pct;duration_minutes;hours_until_match_start;hours_until_match_end;observations
1636572945-spread-home--0.5-1790016598;2026-09-21T18:49:58.387311+00:00;2026-09-21T18:49:58.387311+00:00;Argentina - Primera B Nacional;Nueva Chicago vs Patronato;1636572945;spread;home;-0.5;1.862;1.752;5.908;0;3.16;2.96;1
1636572945-spread-away-0.5-1790016598;2026-09-21T18:49:58.387311+00:00;2026-09-21T18:49:58.387311+00:00;Argentina - Primera B Nacional;Nueva Chicago vs Patronato;1636572945;spread;away;0.5;1.99;1.962;1.407;0;3.16;2.96;1
1636681725-spread-away--0.0-1790016598;2026-09-21T18:49:58.387311+00:00;2026-09-21T18:49:58.387311+00:00;Ecuador - Serie A;Manta vs Orense;1636681725;spread;away;-0.0;2.06;1.84;10.68;0;0.16;0;1
1636681725-spread-home-0.0-1790016773;2026-09-21T18:52:53.999945+00:00;2026-09-21T18:55:45.208950+00:00;Ecuador - Serie A;Manta vs Orense;1636681725;spread;home;0.0;1.893;1.769;6.55;2.85;0.11;0;2
1636681725-moneyline-draw--1790016945;2026-09-21T18:55:45.208950+00:00;2026-09-21T18:55:45.208950+00:00;Ecuador - Serie A;Manta vs Orense;1636681725;moneyline;draw;;3.17;3.08;2.839;0;0.06;0;1
1636759965-moneyline-home--1790017115;2026-09-21T18:58:35.370391+00:00;2026-09-21T18:58:35.370391+00:00;Colombia - Primera B;Real Cundinamarca vs Deportes Quindio;1636759965;moneyline;home;;2.08;1.943;6.587;0;3.02;2.82;1
1636759965-spread-home--0.5-1790017115;2026-09-21T18:58:35.370391+00:00;2026-09-21T18:58:35.370391+00:00;Colombia - Primera B;Real Cundinamarca vs Deportes Quindio;1636759965;spread;home;-0.5;1.952;1.885;3.432;0;3.02;2.82;1
1636572945-moneyline-home--1790017455;2026-09-21T19:04:15.850780+00:00;2026-09-21T19:04:15.850780+00:00;Argentina - Primera B Nacional;Nueva Chicago vs Patronato;1636572945;moneyline;home;;1.855;1.833;1.186;0;2.92;2.72;1
1636572945-spread-home--0.5-1790017455;2026-09-21T19:04:15.850780+00:00;2026-09-21T19:04:15.850780+00:00;Argentina - Primera B Nacional;Nueva Chicago vs Patronato;1636572945;spread;home;-0.5;1.84;1.752;4.783;0;2.92;2.72;1
1636572945-spread-away-0.5-1790017455;2026-09-21T19:04:15.850780+00:00;2026-09-21T19:04:15.850780+00:00;Argentina - Primera B Nacional;Nueva Chicago vs Patronato;1636572945;spread;away;0.5;2.02;1.962;2.871;0;2.92;2.72;1
1636640756-moneyline-home--1790017455;2026-09-21T19:04:15.850780+00:00;2026-09-21T19:04:15.850780+00:00;Paraguay - Division Intermedia;Encarnacion vs Deportivo Capiata;1636640756;moneyline;home;;2.22;2.12;4.505;0;2.92;2.72;1
1636618379-moneyline-away--1790017792;2026-09-21T19:09:52.251433+00:00;2026-09-21T19:09:52.251433+00:00;Paraguay - Division Intermedia;Benjamin Aceval vs Atletico Tembetary;1636618379;moneyline;away;;3.23;2.68;17.028;0;0.33;0.12;1
1636759965-moneyline-home--1790017960;2026-09-21T19:12:40.412739+00:00;2026-09-21T19:12:40.412739+00:00;Colombia - Primera B;Real Cundinamarca vs Deportes Quindio;1636759965;moneyline;home;;1.943;1.833;5.661;0;2.79;2.59;1
