episode_id;timestamp_start;timestamp_end;league;match;matchup_id;market;side;points;start_odd;end_odd;movement_pct;duration_minutes;hours_until_match_start;hours_until_match_end;observations;base_prob_pct;steam_dominance_pct;movement_score;persistence_score;timing_score;fvs_score
1636937809-spread-home--2.0-1790097815;2026-09-22T17:23:35.654183+00:00;2026-09-22T17:23:35.654183+00:00;England - EFL Trophy;MK Dons vs Crawley Town;1636937809;spread;home;-2.0;2.0;1.909;4.55;0;0.59;0.39;1;48.89;100.0;37.92;0.0;64.82;53.73
1637090737-spread-home--0.5-1790097815;2026-09-22T17:23:35.654183+00:00;2026-09-22T17:23:35.654183+00:00;England - EFL Trophy;Swindon Town vs Newport County;1637090737;spread;home;-0.5;1.901;1.787;5.997;0;0.59;0.39;1;52.09;92.86;49.97;0.0;64.82;55.32
1637002779-moneyline-draw--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Bradford City vs Newcastle United U21;1637002779;moneyline;draw;;7.96;7.8;2.01;0;1.03;0.83;1;12.06;100.0;16.75;0.0;75.85;39.55
1637064578-moneyline-away--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Leicester City vs Fulham U21;1637064578;moneyline;away;;12.99;11.28;13.164;0;0.53;0.33;1;8.32;60.92;100.0;0.0;63.35;44.06
1637064578-moneyline-draw--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Leicester City vs Fulham U21;1637064578;moneyline;draw;;9.0;8.24;8.444;0;0.53;0.33;1;11.39;39.08;70.37;0.0;63.35;33.6
1637064578-spread-away-2.5-1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Leicester City vs Fulham U21;1637064578;spread;away;2.5;2.02;1.877;7.079;0;0.53;0.33;1;51.11;100.0;58.99;0.0;63.35;58.47
1637086523-moneyline-away--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Walsall vs Stevenage;1637086523;moneyline;away;;2.07;1.962;5.217;0;0.53;0.33;1;47.85;100.0;43.48;0.0;63.35;54.38
1637086523-spread-away--0.5-1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Walsall vs Stevenage;1637086523;spread;away;-0.5;1.971;1.847;6.291;0;0.53;0.33;1;50.51;100.0;52.43;0.0;63.35;56.97
1637067851-moneyline-home--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Wigan Athletic vs Blackpool;1637067851;moneyline;home;;2.82;2.76;2.128;0;0.53;0.33;1;33.18;79.91;17.73;0.0;63.35;39.81
1636937809-spread-away-2.0-1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;MK Dons vs Crawley Town;1636937809;spread;away;2.0;1.826;1.781;2.464;0;0.53;0.33;1;52.9;100.0;20.54;0.0;63.35;51.31
1637069525-moneyline-home--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Notts County vs Grimsby Town;1637069525;moneyline;home;;2.67;2.56;4.12;0;0.53;0.33;1;35.8;100.0;34.33;0.0;63.35;48.94
1637069525-spread-home-0.0-1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Notts County vs Grimsby Town;1637069525;spread;home;0.0;2.04;1.943;4.755;0;0.53;0.33;1;48.64;100.0;39.62;0.0;63.35;53.85
1637069527-moneyline-away--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;York City vs Rotherham United;1637069527;moneyline;away;;2.27;2.23;1.762;0;0.53;0.33;1;41.06;100.0;14.68;0.0;63.35;46.59
1637067771-moneyline-away--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Gillingham vs Cambridge United;1637067771;moneyline;away;;1.617;1.541;4.7;0;0.53;0.33;1;59.43;100.0;39.17;0.0;63.35;57.0
1637064580-moneyline-away--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Crewe Alexandra vs Aston Villa U21;1637064580;moneyline;away;;6.45;5.23;18.915;0;0.53;0.33;1;17.97;65.25;100.0;0.0;63.35;48.04
1637064580-moneyline-draw--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Crewe Alexandra vs Aston Villa U21;1637064580;moneyline;draw;;5.36;4.82;10.075;0;0.53;0.33;1;19.5;34.75;83.96;0.0;63.35;37.66
1637098266-moneyline-away--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Barnsley vs Leeds United U21;1637098266;moneyline;away;;7.56;6.33;16.27;0;0.53;0.33;1;14.85;60.97;100.0;0.0;63.35;46.03
1637098266-moneyline-draw--1790098029;2026-09-22T17:27:09.356412+00:00;2026-09-22T17:27:09.356412+00:00;England - EFL Trophy;Barnsley vs Leeds United U21;1637098266;moneyline;draw;;5.76;5.16;10.417;0;0.53;0.33;1;18.22;39.03;86.81;0.0;63.35;38.92
1636768959-spread-home-0.0-1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;Colombia - Primera B;Atletico Cali vs Tigres;1636768959;spread;home;0.0;1.971;1.877;4.769;0;3.48;3.28;1;48.6;55.02;39.74;0.0;100.0;46.29
1636768959-spread-away--0.0-1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;Colombia - Primera B;Atletico Cali vs Tigres;1636768959;spread;away;-0.0;1.847;1.775;3.898;0;3.48;3.28;1;51.4;44.98;32.49;0.0;100.0;43.16
1637090761-moneyline-away--1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;England - EFL Trophy;Plymouth Argyle vs Crystal Palace U21;1637090761;moneyline;away;;7.81;6.83;12.548;0;0.48;0.27;1;13.77;73.31;100.0;0.0;61.89;48.65
1637090761-moneyline-draw--1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;England - EFL Trophy;Plymouth Argyle vs Crystal Palace U21;1637090761;moneyline;draw;;5.91;5.64;4.569;0;0.48;0.27;1;16.67;26.69;38.07;0.0;61.89;25.48
1637064577-moneyline-away--1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;England - EFL Trophy;Luton Town vs Ipswich Town U21;1637064577;moneyline;away;;9.79;9.04;7.661;0;0.48;0.27;1;10.36;62.24;63.84;0.0;61.89;37.62
1637064577-moneyline-draw--1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;England - EFL Trophy;Luton Town vs Ipswich Town U21;1637064577;moneyline;draw;;7.1;6.77;4.648;0;0.48;0.27;1;13.83;37.76;38.73;0.0;61.89;27.52
1636937809-moneyline-away--1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;England - EFL Trophy;MK Dons vs Crawley Town;1636937809;moneyline;away;;8.02;7.68;4.239;0;0.48;0.27;1;11.87;64.31;35.33;0.0;61.89;32.89
1636937809-moneyline-draw--1790098238;2026-09-22T17:30:38.899098+00:00;2026-09-22T17:30:38.899098+00:00;England - EFL Trophy;MK Dons vs Crawley Town;1636937809;moneyline;draw;;5.95;5.81;2.353;0;0.48;0.27;1;15.69;35.69;19.61;0.0;61.89;23.74
1636918786-moneyline-away--1790098448;2026-09-22T17:34:08.542770+00:00;2026-09-22T17:34:08.542770+00:00;England - Northern League Division 1;Liversedge vs Silsden;1636918786;moneyline;away;;3.07;2.95;3.909;0;1.18;0.97;1;30.44;87.94;32.57;0.0;79.4;45.57
1637165529-moneyline-home--1790098448;2026-09-22T17:34:08.542770+00:00;2026-09-22T17:34:08.542770+00:00;England - Northern League Division 1;Mossley vs 1874 Northwich;1637165529;moneyline;home;;1.415;1.394;1.484;0;1.18;0.97;1;64.46;100.0;12.37;0.0;79.4;54.75
1636920011-moneyline-home--1790098448;2026-09-22T17:34:08.542770+00:00;2026-09-22T17:34:08.542770+00:00;England - Northern League Division 1;Chasetown vs Padiham;1636920011;moneyline;home;;1.452;1.437;1.033;0;1.18;0.97;1;62.53;100.0;8.61;0.0;79.4;53.42
1636713985-moneyline-away--1790098448;2026-09-22T17:34:08.542770+00:00;2026-09-22T17:34:08.542770+00:00;Scotland - Challenge Cup;Dumbarton vs Kilmarnock B;1636713985;moneyline;away;;3.25;3.2;1.538;0;1.17;0.96;1;28.44;74.81;12.82;0.0;79.18;37.71
1636713985-spread-away-0.5-1790098448;2026-09-22T17:34:08.542770+00:00;2026-09-22T17:34:08.542770+00:00;Scotland - Challenge Cup;Dumbarton vs Kilmarnock B;1636713985;spread;away;0.5;1.885;1.862;1.22;0;1.17;0.96;1;50.62;100.0;10.17;0.0;79.18;50.14
1637090737-spread-home--0.5-1790098663;2026-09-22T17:37:43.483406+00:00;2026-09-22T17:37:43.483406+00:00;England - EFL Trophy;Swindon Town vs Newport County;1637090737;spread;home;-0.5;1.901;1.787;5.997;0;0.37;0.16;1;52.09;92.86;49.97;0.0;59.25;54.76
1637175360-moneyline-away--1790098663;2026-09-22T17:37:43.483406+00:00;2026-09-22T17:37:43.483406+00:00;Brazil - Serie B;Criciuma vs Operario Ferroviario;1637175360;moneyline;away;;4.19;4.11;1.909;0;4.86;4.66;1;23.38;86.08;15.91;0.0;100.0;41.72
1636709511-moneyline-away--1790098663;2026-09-22T17:37:43.483406+00:00;2026-09-22T17:37:43.483406+00:00;Chile - Cup;Puerto Montt vs Nublense;1636709511;moneyline;away;;1.962;1.917;2.294;0;3.36;3.16;1;47.72;100.0;19.11;0.0;100.0;53.14
1636709511-spread-away--0.5-1790098663;2026-09-22T17:37:43.483406+00:00;2026-09-22T17:37:43.483406+00:00;Chile - Cup;Puerto Montt vs Nublense;1636709511;spread;away;-0.5;1.971;1.926;2.283;0;3.36;3.16;1;49.16;100.0;19.03;0.0;100.0;53.55
1636759972-moneyline-draw--1790098663;2026-09-22T17:37:43.483406+00:00;2026-09-22T17:37:43.483406+00:00;Paraguay - Cup;2 de Mayo vs Club Sol de America;1636759972;moneyline;draw;;3.58;3.45;3.631;0;3.86;3.65;1;25.71;100.0;30.26;0.0;100.0;48.77
1637090737-spread-away-0.5-1790098663;2026-09-22T17:37:43.483406+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Swindon Town vs Newport County;1637090737;spread;away;0.5;1.952;1.901;2.613;3.58;0.37;0.16;2;50.66;100.0;21.77;20.91;59.25;53.61
1637076076-moneyline-home--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Peterborough United vs Colchester United;1637076076;moneyline;home;;1.467;1.412;3.749;0;0.31;0.1;1;66.61;100.0;31.24;0.0;57.76;57.01
1637069524-moneyline-home--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Oldham Athletic vs Fleetwood Town;1637069524;moneyline;home;;2.16;2.12;1.852;0;0.31;0.1;1;44.32;100.0;15.43;0.0;57.76;47.16
1637090737-moneyline-away--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Swindon Town vs Newport County;1637090737;moneyline;away;;3.59;3.46;3.621;0;0.31;0.1;1;27.16;73.8;30.18;0.0;57.76;38.41
1637090737-moneyline-draw--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Swindon Town vs Newport County;1637090737;moneyline;draw;;3.89;3.84;1.285;0;0.31;0.1;1;24.47;26.2;10.71;0.0;57.76;21.81
1637069525-moneyline-home--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Notts County vs Grimsby Town;1637069525;moneyline;home;;2.56;2.3;10.156;0;0.31;0.1;1;40.57;100.0;84.64;0.0;57.76;59.88
1637069525-spread-home-0.0-1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Notts County vs Grimsby Town;1637069525;spread;home;0.0;1.943;1.8;7.36;0;0.31;0.1;1;53.25;100.0;61.33;0.0;57.76;59.02
1637098266-moneyline-away--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Barnsley vs Leeds United U21;1637098266;moneyline;away;;6.33;6.12;3.318;0;0.31;0.1;1;15.35;63.12;27.65;0.0;57.76;31.69
1637098266-moneyline-draw--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Barnsley vs Leeds United U21;1637098266;moneyline;draw;;5.16;5.06;1.938;0;0.31;0.1;1;18.57;36.88;16.15;0.0;57.76;23.8
1637053207-moneyline-home--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Cheltenham Town vs Exeter City;1637053207;moneyline;home;;2.65;2.59;2.264;0;0.31;0.1;1;36.29;100.0;18.87;0.0;57.76;45.44
1637053207-spread-home-0.0-1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Cheltenham Town vs Exeter City;1637053207;spread;home;0.0;1.962;1.909;2.701;0;0.31;0.1;1;50.44;100.0;22.51;0.0;57.76;50.41
1637067851-moneyline-home--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Wigan Athletic vs Blackpool;1637067851;moneyline;home;;2.76;2.63;4.71;0;0.31;0.1;1;35.51;100.0;39.25;0.0;57.76;49.28
1637067772-moneyline-home--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Chesterfield vs Port Vale;1637067772;moneyline;home;;2.64;2.57;2.652;0;0.31;0.1;1;36.55;100.0;22.1;0.0;57.76;46.16
1637067772-spread-home-0.0-1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Chesterfield vs Port Vale;1637067772;spread;home;0.0;1.99;1.935;2.764;0;0.31;0.1;1;49.77;100.0;23.03;0.0;57.76;50.31
1637086523-spread-away--0.5-1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Walsall vs Stevenage;1637086523;spread;away;-0.5;1.971;1.847;6.291;0;0.31;0.1;1;50.51;100.0;52.43;0.0;57.76;56.41
1637086522-moneyline-home--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Tranmere Rovers vs Shrewsbury Town;1637086522;moneyline;home;;2.93;2.68;8.532;0;0.31;0.1;1;35.05;100.0;71.1;0.0;57.76;55.51
1637002779-moneyline-away--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Bradford City vs Newcastle United U21;1637002779;moneyline;away;;15.25;14.51;4.852;0;0.81;0.6;1;6.48;60.22;40.44;0.0;70.26;32.11
1637002779-moneyline-draw--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Bradford City vs Newcastle United U21;1637002779;moneyline;draw;;7.8;7.55;3.205;0;0.81;0.6;1;12.45;39.78;26.71;0.0;70.26;26.05
1637086544-moneyline-away--1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Rochdale vs Liverpool U21;1637086544;moneyline;away;;2.67;2.47;7.491;0;0.31;0.1;1;38.02;100.0;62.42;0.0;57.76;54.67
1637086544-spread-away--0.0-1790098878;2026-09-22T17:41:18.519163+00:00;2026-09-22T17:41:18.519163+00:00;England - EFL Trophy;Rochdale vs Liverpool U21;1637086544;spread;away;-0.0;2.04;1.909;6.422;0;0.31;0.1;1;50.44;100.0;53.51;0.0;57.76;56.61
